t,T1,T2,T3,T6,T7,T8
0, 42.4, 41.9, 41, 37.3, 35.9, 34.8
3, 45.7, 43.7, 41.7, 34.7, 32.8, 31.7
6, 46.9, 44.8, 42.7, 35.2, 33.2, 32.9
9, 47.5, 45.4, 43.2, 35.5, 33.3, 32
12, 47.7, 45.6, 43.4, 35.6, 33.4, 32.1
15, 47.9, 45.8, 43.6, 35.7, 33.5, 31.1
18, 47.9, 45.8, 43.6, 35.8, 33.6, 32.2
